city,lat,lng,country,iso2
Berlin,52.516667,13.4,Germany,DE
Hamburg,53.575323,10.01534,Germany,DE
Munich,48.15,11.583333,Germany,DE
Cologne,50.933333,6.95,Germany,DE
Frankfurt,50.11552,8.684167,Germany,DE
Stuttgart,48.782343,9.180819,Germany,DE
Dusseldorf,51.228304,6.793849,Germany,DE
Dortmund,51.514942,7.465997,Germany,DE
Essen,51.45657,7.012282,Germany,DE
Bremen,53.073789,8.826754,Germany,DE
Hannover,52.38497,9.737141,Germany,DE
Leipzig,51.34419,12.386504,Germany,DE
Marienberg,49.486021,11.086156,Germany,DE
Duisburg,51.432469,6.765161,Germany,DE
Dresden,51.048562,13.745794,Germany,DE
Wuppertal,51.270268,7.167553,Germany,DE
Mannheim,49.496706,8.479547,Germany,DE
Bonn,50.73438,7.095485,Germany,DE
Bielefeld,52.028332,8.542002,Germany,DE
Karlsruhe,49.009365,8.40444,Germany,DE
Wiesbaden,50.082582,8.249322,Germany,DE
Augsburg,48.371538,10.898514,Germany,DE
Altchemnitz,50.811536,12.912827,Germany,DE
Münster,51.961114,7.624239,Germany,DE
Braunschweig,52.265939,10.526726,Germany,DE
Kiel,54.312145,10.135526,Germany,DE
Magdeburg,52.127731,11.629163,Germany,DE
Freiburg,47.996861,7.84973,Germany,DE
Lübeck,53.86687,10.688367,Germany,DE
Rostock,54.086813,12.113453,Germany,DE
Kassel,51.313782,9.484645,Germany,DE
Mainz,49.984188,8.279096,Germany,DE
Saarbrücken,49.235396,6.981646,Germany,DE
Erfurt,50.978695,11.032831,Germany,DE
Osnabrück,52.272642,8.049799,Germany,DE
Oldenburg,53.141178,8.214674,Germany,DE
Potsdam,52.402247,13.057122,Germany,DE
Heidelberg,49.404123,8.683733,Germany,DE
Würzburg,49.793912,9.951214,Germany,DE
Regensburg,49.034512,12.119234,Germany,DE
Göttingen,51.539334,9.934057,Germany,DE
Ingolstadt,48.765081,11.423725,Germany,DE
Ulm,48.397053,9.968956,Germany,DE
Bremerhaven,53.550209,8.576735,Germany,DE
Fürth,49.48121,10.96762,Germany,DE
Koblenz,50.353573,7.578835,Germany,DE
Gera,50.875507,12.083296,Germany,DE
Brussels,50.833333,4.333333,Belgium,BE
Antwerp,51.213886,4.401514,Belgium,BE
Liege,50.638674,5.570228,Belgium,BE
Gent,51.05,3.716667,Belgium,BE
Charleroi,50.409473,4.452483,Belgium,BE
Brugge,51.210933,3.225971,Belgium,BE
Vienna,48.2,16.366667,Austria,AT
Linz,48.3,14.3,Austria,AT
Graz,47.066667,15.45,Austria,AT
Salzburg,47.8,13.033333,Austria,AT
Innsbruck,47.266667,11.4,Austria,AT
Paris,48.866667,2.333333,France,FR
Lyon,45.748457,4.846711,France,FR
Marseille,43.285413,5.37606,France,FR
Lille,50.632971,3.058585,France,FR
Nice,43.713644,7.25952,France,FR
Toulouse,43.599516,1.433188,France,FR
Bordeaux,44.840439,-0.5805,France,FR
Rouen,49.433333,1.083333,France,FR
Strasbourg,48.600381,7.787355,France,FR
Nantes,47.216509,-1.552379,France,FR
Metz,49.115461,6.175875,France,FR
Grenoble,45.171546,5.722387,France,FR
Toulon,43.117705,5.941712,France,FR
Montpellier,43.61092,3.87723,France,FR
Nancy,48.69211,6.187756,France,FR
Saint-Etienne,45.435382,4.391051,France,FR
Melun,48.545699,2.653562,France,FR
Le Havre,49.5,0.133333,France,FR
Tours,47.394836,0.703977,France,FR
Clermont-Ferrand,45.779657,3.086281,France,FR
Orleans,47.902891,1.903887,France,FR
Mulhouse,47.738082,7.347932,France,FR
Rennes,48.111981,-1.674291,France,FR
Reims,49.25,4.033333,France,FR
Caen,49.197188,-0.326822,France,FR
Angers,47.473806,-0.54774,France,FR
Dijon,47.316667,5.016667,France,FR
Nimes,43.833778,4.359623,France,FR
Limoges,45.831534,1.257805,France,FR
Aix-en-Provence,43.528695,5.448791,France,FR
Perpignan,42.696172,2.897098,France,FR
Biarritz,43.480119,-1.555581,France,FR
Brest,48.390756,-4.486165,France,FR
Le Mans,48.000386,0.204709,France,FR
Amiens,49.9,2.3,France,FR
Besancon,47.248778,6.018152,France,FR
Annecy,45.906206,6.126699,France,FR
Madrid,40.412752,-3.707721,Spain,ES
Barcelona,41.398371,2.1741,Spain,ES
Sevilla,37.382826,-5.973167,Spain,ES
Bilbao,43.260919,-2.938764,Spain,ES
Valencia,39.466667,-0.366667,Spain,ES
Zaragoza,41.64531,-0.884861,Spain,ES
Malaga,36.726666,-4.434802,Spain,ES
Murcia,37.987041,-1.130042,Spain,ES
Granada,37.178354,-3.599201,Spain,ES
Vigo,42.232823,-8.722637,Spain,ES
Palma,39.574337,2.655222,Spain,ES
A Coruna,43.366609,-8.406812,Spain,ES
Santa Maria de Gracia,28.466667,-16.266667,Spain,ES
Gijon,43.535731,-5.661519,Spain,ES
Valladolid,41.655181,-4.72372,Spain,ES
Cordoba,37.89155,-4.772748,Spain,ES
Alicante,38.34619,-0.487722,Spain,ES
Cadiz,36.515789,-6.279692,Spain,ES
Pamplona,42.814075,-1.641153,Spain,ES
Oviedo,43.363223,-5.853128,Spain,ES
Zuazo de Vitoria,42.839797,-2.722069,Spain,ES
Santander,43.464722,-3.804444,Spain,ES
Cartagena,37.605121,-0.986232,Spain,ES
Marbella,36.510485,-4.885745,Spain,ES
Mataro,41.542113,2.444503,Spain,ES
Almeria,36.833333,-2.45,Spain,ES
Burgos,42.350221,-3.675273,Spain,ES
Salamanca,40.9681,-5.66202,Spain,ES
Albacete,38.995845,-1.857773,Spain,ES
Huelva,37.266385,-6.940044,Spain,ES
Logrono,42.466667,-2.45,Spain,ES
Badajoz,38.877894,-6.970613,Spain,ES
Leon,42.600031,-5.570316,Spain,ES
Tarragona,41.116667,1.25,Spain,ES
Ourense,42.331342,-7.862711,Spain,ES
Jaen,37.772404,-3.79013,Spain,ES
Algeciras,36.133257,-5.450511,Spain,ES
Copenhagen,55.666667,12.583333,Denmark,DK
Aarhus,56.153423,10.22553,Denmark,DK
Odense,55.393475,10.394935,Denmark,DK
Skalborg,57.001634,9.887863,Denmark,DK
Warsaw,52.25,21,Poland,PL
Lodz,51.75,19.466667,Poland,PL
Krakow,50.057531,19.980216,Poland,PL
Wroclaw,51.1,17.033333,Poland,PL
Poznan,52.416667,16.966667,Poland,PL
Gdansk,54.36085,18.658291,Poland,PL
Szczecin,53.439531,14.593891,Poland,PL
Bydgoszcz,53.127062,18.019987,Poland,PL
Lublin,51.25,22.566667,Poland,PL
Katowice,50.258415,19.027545,Poland,PL
Bialystok,53.133333,23.15,Poland,PL
Gdynia,54.5,18.55,Poland,PL
Kielce,50.873686,20.630266,Poland,PL
Gliwice,50.297612,18.676583,Poland,PL
Bytom,50.348017,18.932822,Poland,PL
Olsztyn,53.779949,20.494162,Poland,PL
